iter	Passed	Remaining
404	8357	12278
405	8377	12257
406	8398	12237
407	8423	12222
408	8444	12201
409	8464	12180
410	8484	12158
411	8504	12137
412	8525	12117
413	8545	12096
414	8565	12074
415	8586	12054
416	8607	12034
417	8628	12013
418	8648	11992
419	8675	11979
420	8695	11959
421	8715	11936
422	8734	11913
423	8753	11891
424	8773	11869
425	8792	11846
426	8813	11826
427	8831	11803
428	8852	11782
429	8872	11761
430	8891	11738
431	8911	11717
432	8937	11703
433	8959	11684
434	8982	11667
435	9005	11649
436	9027	11630
437	9048	11609
438	9069	11589
439	9090	11570
440	9111	11550
441	9133	11530
442	9154	11510
443	9183	11500
444	9204	11479
445	9224	11458
446	9245	11438
447	9266	11417
448	9293	11404
449	9316	11386
450	9340	11370
451	9363	11352
452	9385	11333
453	9408	11314
454	9436	11303
455	9457	11282
456	9478	11262
457	9498	11240
458	9520	11221
459	9541	11200
460	9561	11178
461	9582	11158
462	9611	11148
463	9691	11195
464	9806	11282
465	9857	11296
466	9886	11284
467	9910	11266
468	9934	11247
469	9963	11235
470	9990	11220
471	10030	11220
472	10062	11211
473	10091	11199
474	10116	11181
475	10139	11161
476	10160	11140
477	10182	11120
478	10209	11104
479	10234	11087
480	10255	11065
481	10276	11043
482	10297	11022
483	10322	11005
484	10343	10983
485	10364	10961
486	10385	10940
487	10407	10919
488	10429	10898
489	10450	10877
490	10477	10861
491	10499	10840
492	10524	10823
493	10548	10804
494	10571	10784
495	10594	10764
496	10617	10745
497	10639	10725
498	10663	10706
499	10685	10685
500	10708	10665
501	10747	10662
502	10776	10648
503	10827	10655
504	10868	10653
505	10897	10639
506	10923	10621
507	10948	10603
508	10980	10592
509	11006	10574
510	11031	10556
511	11057	10539
512	11081	10520
513	11104	10499
514	11126	10478
515	11148	10456
516	11170	10436
517	11198	10420
518	11232	10409
519	11257	10391
520	11287	10377
521	11312	10359
